variable_name,actions,week
Object sizes/interactive/6xl-objectSize,0,2025-10-05
text/inverse,0,2025-10-05
border-width/l,0,2025-10-05
text/positive,0,2025-10-05
border/:selected,0,2025-10-05
Object sizes/default/lg-objectSize,0,2025-10-05
Object sizes/interactive/xl-objectSize,0,2025-10-05
spacing/none,0,2025-10-05
spacing/m,0,2025-10-05
background/primary,0,2025-10-05
Object sizes/default/xxs-objectSize,0,2025-10-05
background/negative,0,2025-10-05
background/tertiary,0,2025-10-05
background/secondary,0,2025-10-05
background/brand,0,2025-10-05
border/:pressed,0,2025-10-05
Object sizes/interactive/5xl-objectSize,0,2025-10-05
spacing/3xs,0,2025-10-05
border-radius/m,0,2025-10-05
Object sizes/default/xs-objectSize,0,2025-10-05
border-radius/l,0,2025-10-05
text/secondary,0,2025-10-05
Object sizes/interactive/lg-objectSize,0,2025-10-05
text/primary,0,2025-10-05
background/sale,0,2025-10-05
Object sizes/interactive/2xl-objectSize,0,2025-10-05
background/positive,0,2025-10-05
spacing/2xs,0,2025-10-05
Object sizes/interactive/3xl-objectSize,0,2025-10-05
Object sizes/interactive/4xl-objectSize,0,2025-10-05
text/:hover,0,2025-10-05
background/:focus,0,2025-10-05
text/interactive,0,2025-10-05
text/:selected,0,2025-10-05
text/:focus,0,2025-10-05
text/:pressed,0,2025-10-05
background/default,0,2025-10-05
text/negative,0,2025-10-05
border/:focus,0,2025-10-05
text/brand,0,2025-10-05
Object sizes/default/sm-objectSize,0,2025-10-05
background/:selected,0,2025-10-05
background/overlay,0,2025-10-05
border/secondary,0,2025-10-05
Object sizes/interactive/xs-objectSize,0,2025-10-05
Object sizes/default/2xl-objectSize,0,2025-10-05
border-width/s,0,2025-10-05
Object sizes/default/6xl-objectSize,0,2025-10-05
border-width/m,0,2025-10-05
text/[🚧 Deprecated—USE INVERSE] on-sale,0,2025-10-05
background/:pressed,0,2025-10-05
spacing/s,0,2025-10-05
border-radius/none,0,2025-10-05
spacing/xs,0,2025-10-05
text/[🚧 Deprecated—USE INVERSE] on-positive,0,2025-10-05
Object sizes/default/3xl-objectSize,0,2025-10-05
spacing/xl,0,2025-10-05
border-radius/rounded,0,2025-10-05
Object sizes/interactive/sm-objectSize,0,2025-09-28
text/inverse,0,2025-09-28
Object sizes/interactive/6xl-objectSize,0,2025-09-28
border/:focus,0,2025-09-28
text/negative,0,2025-09-28
background/positive,0,2025-09-28
Object sizes/interactive/3xl-objectSize,0,2025-09-28
Object sizes/interactive/xl-objectSize,0,2025-09-28
border/:pressed,0,2025-09-28
spacing/3xs,0,2025-09-28
background/:pressed,0,2025-09-28
text/sale,0,2025-09-28
text/:hover,0,2025-09-28
spacing/m,0,2025-09-28
Object sizes/default/3xl-objectSize,0,2025-09-28
Object sizes/interactive/2xl-objectSize,0,2025-09-28
border/primary,0,2025-09-28
text/[🚧 Deprecated—USE INVERSE] on-positive,0,2025-09-28
spacing/s,0,2025-09-28
text/interactive,0,2025-09-28
spacing/xl,0,2025-09-28
Object sizes/default/6xl-objectSize,0,2025-09-28
Object sizes/default/xl-objectSize,0,2025-09-28
background/sale,0,2025-09-28
Object sizes/default/2xl-objectSize,0,2025-09-28
border-width/l,0,2025-09-28
text/:pressed,0,2025-09-28
border/:selected,0,2025-09-28
Object sizes/default/lg-objectSize,0,2025-09-28
border/secondary,0,2025-09-28
background/:selected,0,2025-09-28
Object sizes/interactive/5xl-objectSize,0,2025-09-28
border-width/m,0,2025-09-28
text/:focus,0,2025-09-28
background/secondary,0,2025-09-28
text/primary,0,2025-09-28
background/negative,0,2025-09-28
Object sizes/interactive/lg-objectSize,0,2025-09-28
background/default,0,2025-09-28
background/primary,0,2025-09-28
opacity/disabled,0,2025-09-28
text/[🚧 Deprecated—USE INVERSE] on-sale,0,2025-09-28
border-radius/none,0,2025-09-28
background/:focus,0,2025-09-28
text/brand,0,2025-09-28
border-width/s,0,2025-09-28
border/negative,0,2025-09-28
border/:hover,0,2025-09-28
text/positive,0,2025-09-28
Object sizes/interactive/xs-objectSize,0,2025-09-28
border-radius/l,0,2025-09-28
text/secondary,0,2025-09-28
border-radius/rounded,0,2025-09-28
border/interactive,0,2025-09-28
background/tertiary,0,2025-09-28
border/positive,0,2025-09-28
spacing/2xs,0,2025-09-28
background/:hover,0,2025-09-28
Object sizes/default/sm-objectSize,0,2025-09-28
spacing/xs,0,2025-09-28
border-radius/m,0,2025-09-28
spacing/none,0,2025-09-28
spacing/2xl,0,2025-09-28
background/overlay,0,2025-09-28
background/brand,0,2025-09-28
spacing/l,0,2025-09-28
border/secondary,0,2025-09-21
spacing/s,0,2025-09-21
text/positive,0,2025-09-21
border-width/m,0,2025-09-21
Object sizes/interactive/3xl-objectSize,0,2025-09-21
spacing/2xs,0,2025-09-21
Object sizes/default/xl-objectSize,0,2025-09-21
background/negative,0,2025-09-21
Object sizes/interactive/5xl-objectSize,0,2025-09-21
opacity/disabled,0,2025-09-21
Object sizes/interactive/6xl-objectSize,0,2025-09-21
border/positive,0,2025-09-21
Object sizes/default/3xl-objectSize,0,2025-09-21
spacing/none,0,2025-09-21
text/:selected,0,2025-09-21
Object sizes/interactive/4xl-objectSize,0,2025-09-21
background/secondary,0,2025-09-21
background/:focus,0,2025-09-21
background/primary,0,2025-09-21
