component_name,component_set_name,week,insertions,detachments
"Type=List Item, Lines=One, Style=Bold, States=Default, Icon=False, Chevron=True",List - Item (Default),2025-12-21,182,0
"Type=Brandmark, Color=Original",Zalando Logo,2025-12-21,67,0
Breakpoints=375 - 1023,Header,2025-12-21,106,0
"Platform=iOS, Type=Standard link, State=Default, Size=Small",🚧 [DEPRECATED] Link,2025-12-21,13,0
"Platform=Web, Type=Navigation link, State=Default, Size=Large",🚧 [DEPRECATED] Link,2025-12-21,62,0
Icon - Burger Menu Left,,2025-12-21,8,0
Icon - Star Sparkle,,2025-12-21,33,0
"Platform=App, Type=Default",Notifications,2025-12-21,10,0
"States=Completed, Type=Icon, Orientation=Horizontal, Text=One",🚧 [DEPRECATED] Progress Stepper,2025-12-21,24,0
Icon - Shopping bag (empty),,2025-12-21,18,0
"Breakpoint=480 (Phablet), Size=Small, Header (Optional)=On, Title (Optional)=On, Footer (Optional)=On",Dialog (Web),2025-12-21,7,0
"Platform=App, Outline=Off",Icon button - Remove Close,2025-12-21,101,0
Platform=Android,Status bar,2025-12-21,12,0
